---
source: c:\EOTIR\EOTIR RPG\Directories\COMPNOR - Galactic Citizen Directory.xlsx
category: in_game_documents/laws_policies
sheets: ['Sheet1']
source_type: EOTIR RPG
extraction_date: 2025-05-03T15:31:06.225225
---

--- Sheet: Sheet1 ---

                         Name                                    Rank        Division                          Department
                 Viki Goodsen                      Assistant Minister         COMPNOR                      Transportation
                Carlos Rucker                      Assistant Minister         COMPNOR                      Transportation
                 Harold Kagan                      Assistant Minister         COMPNOR                      Transportation
               Jordan Barnett                      Assistant Minister         COMPNOR                      Transportation
                Diane Vazquez                      Assistant Minister         COMPNOR                      Transportation
               Marta LaGrange                      Assistant Minister         COMPNOR                      Transportation
                 Atin Garland                      Assistant Minister         COMPNOR                      Transportation
         Barrington Sotomayer                      Assistant Minister         COMPNOR                      Transportation
               Sonya Katzmann                      Assistant Minister         COMPNOR                      Transportation
               Ruben Geenaway                      Assistant Minister         COMPNOR                      Transportation
               Kim Raliwinson                      Assistant Minister         COMPNOR                      Transportation
             Merrick Castillo                      Assistant Minister         COMPNOR                      Transportation
             Clarissa Mullins                         Deputy Minister         COMPNOR                               Labor
                   Janet Snow                          Under Minister         COMPNOR                               Labor
                 Barry Vitter                      Assistant Minister         COMPNOR                               Labor
                    Kol Zadan                      Assistant Minister         COMPNOR                               Labor
                  Erik Derrun                          Under Minister         COMPNOR                               Labor
               Frances O'Neil                      Assistant Minister         COMPNOR                               Labor
               Sharron Ortega                      Assistant Minister         COMPNOR                               Labor
                  Jean Gordon                      Assistant Minister         COMPNOR                               Labor
            Margaret Schrader                      Assistant Minister         COMPNOR                               Labor
               Carl McCrikket                          Under Minister         COMPNOR                               Labor
                 Ralph Cotton                      Assistant Minister         COMPNOR                               Labor
                Geoffry Ellis                         Senior Director         COMPNOR                               Labor
                Herman Jacobs                         Senior Director         COMPNOR                               Labor
              Natalie Gregory                         Senior Director         COMPNOR                               Labor
                Kyle Mountjoy                      Assistant Minister         COMPNOR                               Labor
               Michelle Scott                         Deputy Minister         COMPNOR                          IR Library
                Madeline Ames                          Under Minister         COMPNOR                          IR Library
                  Kristen Lay                         Senior Director         COMPNOR                          IR Library
                  Aaron Reams                         Senior Director         COMPNOR                          IR Library
                 Kelsey Monte                         Senior Director         COMPNOR                          IR Library
                Diane Kinsley                         Senior Director         COMPNOR                          IR Library
               Barbara Tinker                          Under Minister         COMPNOR                          IR Library
               Lydia Farraell                          Under Minister         COMPNOR                          IR Library
                  James Crowe                         Senior Director         COMPNOR                          IR Library
               Brandon Dunbar                         Senior Director         COMPNOR                          IR Library
                 Jane Adamson                         Senior Director         COMPNOR                          IR Library
                 James Xaiver                      Assistant Minister         COMPNOR                          IR Library
                  Josh Elwood                      Assistant Minister         COMPNOR                          IR Library
                Charity Purdy                      Assistant Minister         COMPNOR                          IR Library
               Lydia Farraell                         Senior Director         COMPNOR                          IR Library
            Stephanie Larcosa                         Senior Director         COMPNOR                          IR Library
                 Zane Dardell                         Senior Director         COMPNOR                          IR Library
                 Geoff Mayson                         Senior Director         COMPNOR                          IR Library
                  Mat Langley                                 Colonel         COMPNOR            IRSB: Executive Security
                   Mark Dixon                                   Major         COMPNOR            IRSB: Executive Security
                 Sofia Ferrao                      Lieutenant Colonel         COMPNOR            IRSB: Executive Security
                Alina Moretti                                 Captain         COMPNOR            IRSB: Executive Security
           Kaitlyn Everingham                                   Major         COMPNOR            IRSB: Executive Security
             Galileo Mazzanti                                 Colonel         COMPNOR             IRSB: Director's Office
               Ellen Garcetti                           Major General         COMPNOR             IRSB: Director's Office
              Catherine Wylde                           Major General         COMPNOR             IRSB: Director's Office
              Alex A. Collier                      Lieutenant General         COMPNOR      IRSB: Deputy Director's Office
               Jasmine Barlow                                 Colonel         COMPNOR      IRSB: Deputy Director's Office
             Vanessa Mikhaila                       Brigadier General         COMPNOR      IRSB: Deputy Director's Office
           Timofei Vidogravia                               Commander         COMPNOR      IRSB: Deputy Director's Office
               Elena Fesdorva                               Commander         COMPNOR      IRSB: Deputy Director's Office
               Andrew Taggart                           Major General         COMPNOR      IRSB: Deputy Director's Office
               Raithos Bodost                      Lieutenant General         COMPNOR      IRSB: Deputy Director's Office
                 Graham Hagan                      Lieutenant General         COMPNOR      IRSB: Deputy Director's Office
              Melanie Barrish                      Lieutenant General         COMPNOR                IRSB: Chief of Staff
              Roderick Ashlan                                 Colonel         COMPNOR                IRSB: Chief of Staff
                Gabriel Eagan                       Brigadier General         COMPNOR                IRSB: Chief of Staff
                 Angie Talson                       Brigadier General         COMPNOR                IRSB: Chief of Staff
                  Alec Bryson                                 Colonel         COMPNOR                IRSB: Chief of Staff
                Margaux Price                                 Colonel         COMPNOR                IRSB: Chief of Staff
                  Rowen Husak                                 Colonel         COMPNOR                IRSB: Chief of Staff
             Katherine Brooks                               Commander         COMPNOR                IRSB: Chief of Staff
                Dana Humphrey                           Major General         COMPNOR                IRSB: Chief of Staff
                  Leena Ranck                           Major General         COMPNOR                IRSB: Chief of Staff
                Damien Hunter                       Brigadier General         COMPNOR                IRSB: Chief of Staff
               Elizabeth Kent                           Major General         COMPNOR                IRSB: Chief of Staff
                  Leo Claxton                      Lieutenant Colonel         COMPNOR                IRSB: Chief of Staff
                 Angela Gallo                      Lieutenant Colonel         COMPNOR                IRSB: Chief of Staff
               Davina Nicolai                      Lieutenant Colonel         COMPNOR                IRSB: Chief of Staff
              Yuliana Levvus                                  Colonel         COMPNOR                IRSB: Chief of Staff
            Gabrielle Rignall                                 Colonel         COMPNOR                IRSB: Chief of Staff
                  Cooper Venn                                 Colonel         COMPNOR                IRSB: Chief of Staff
             Marrett Dellucci                      Lieutenant Colonel         COMPNOR                IRSB: Chief of Staff
             Selvira Valentan                                 Colonel         COMPNOR                IRSB: Chief of Staff
                Evie Tietkens                                 Colonel         COMPNOR                IRSB: Chief of Staff
             Alexandra Liston                           Major General         COMPNOR                IRSB: Chief of Staff
                  James Glynn                                 Colonel         COMPNOR                IRSB: Chief of Staff
                Reed Brantley                               Commander         COMPNOR                IRSB: Chief of Staff
                 Lucy Switzer                               Commander         COMPNOR                IRSB: Chief of Staff
                Whitney Clark                               Commander         COMPNOR                IRSB: Chief of Staff
               Tiffany Shultz                       Brigadier General         COMPNOR                IRSB: Chief of Staff
                Nat d'Anconia                               Commander         COMPNOR                IRSB: Chief of Staff
                 Torin Myuker                               Commander         COMPNOR                IRSB: Chief of Staff
               Audrey Coterel                                 Colonel         COMPNOR                IRSB: Chief of Staff
                Caitlin Breen                                 Colonel         COMPNOR                IRSB: Chief of Staff
             Brianna Thompson                               Commander         COMPNOR                IRSB: Chief of Staff
                  Dean Allard                                 Colonel         COMPNOR                IRSB: Chief of Staff
              Olga Kilvograda                                 Colonel         COMPNOR                IRSB: Chief of Staff
             Lindsay Anderson                               Commander         COMPNOR                IRSB: Chief of Staff
               Brock Milleaux                               Commander         COMPNOR                IRSB: Chief of Staff
                    Avery Ice                                 Colonel         COMPNOR                IRSB: Chief of Staff
                Donna Willers                                 Colonel         COMPNOR                IRSB: Chief of Staff
                Vera Mellozzi                               Commander         COMPNOR                IRSB: Chief of Staff
                  Greg Beddoe                                 Colonel         COMPNOR                IRSB: Chief of Staff
                Ilya Sedrova                                  Colonel         COMPNOR                IRSB: Chief of Staff
              Everitha Gilkke                      Lieutenant General         COMPNOR              IRSB: Field Operations
               Georgia Vidler                                 Colonel         COMPNOR              IRSB: Field Operations
              Victoria Walker                       Brigadier General         COMPNOR              IRSB: Field Operations
               Logan E. Moran                           Major General         COMPNOR              IRSB: Field Operations
               Hannah Theisen                       Brigadier General         COMPNOR              IRSB: Field Operations
              Abigail Unwinal                               Commander         COMPNOR              IRSB: Field Operations
                  Devin Heltz                               Commander         COMPNOR              IRSB: Field Operations
                Kate McCallum                                 Colonel         COMPNOR              IRSB: Field Operations
                 Tucker Adams                               Commander         COMPNOR              IRSB: Field Operations
                Tolomeo Ferri                               Commander         COMPNOR              IRSB: Field Operations
      Vladimir Anton Kresevič                               Commander         COMPNOR              IRSB: Field Operations
                Robert Fenton                               Commander         COMPNOR              IRSB: Field Operations
               Odelia Marlowe                               Commander         COMPNOR              IRSB: Field Operations
              Nikki Crescenzi                               Commander         COMPNOR              IRSB: Field Operations
                 Kara Talluns                               Commander         COMPNOR              IRSB: Field Operations
             Brooke Tolimanas                               Commander         COMPNOR              IRSB: Field Operations
                 Amy Ferguson                       Brigadier General         COMPNOR              IRSB: Field Operations
                Alice Mecatti                               Commander         COMPNOR              IRSB: Field Operations
                Andrew Morley                               Commander         COMPNOR              IRSB: Field Operations
                 Layne Tokarz                               Commander         COMPNOR              IRSB: Field Operations
                 Fahira Illos                               Commander         COMPNOR              IRSB: Field Operations
                  Kevin Raney                       Brigadier General         COMPNOR              IRSB: Field Operations
                 Rowen Turini                               Commander         COMPNOR              IRSB: Field Operations
               Dennis Jenkins                               Commander         COMPNOR              IRSB: Field Operations
              Nicolas Arderne                               Commander         COMPNOR              IRSB: Field Operations
              Edmund Bittanti                               Commander         COMPNOR              IRSB: Field Operations
                 Nick Rearden                       Brigadier General         COMPNOR              IRSB: Field Operations
                Viera Hannica                               Commander         COMPNOR              IRSB: Field Operations
                Mason Edwards                               Commander         COMPNOR              IRSB: Field Operations
                   Hugo Henty                               Commander         COMPNOR              IRSB: Field Operations
                  Wendy Sawdy                               Commander         COMPNOR              IRSB: Field Operations
           Jeffery Dowdellson                      Lieutenant General         COMPNOR            IRSB: Support Operations
               Ben Gottschalk                                 Colonel         COMPNOR            IRSB: Support Operations
                 Brent Tucker                           Major General         COMPNOR            IRSB: Support Operations
               Camille Lafont                           Major General         COMPNOR            IRSB: Support Operations
                     Hennessy                               Commander         COMPNOR            IRSB: Support Operations
                  Hugh Atwood                               Commander         COMPNOR            IRSB: Support Operations
               Wesley Stadler                               Commander         COMPNOR            IRSB: Support Operations
                    Zac Hyman                       Brigadier General         COMPNOR            IRSB: Support Operations
                  Zoe Gabriel                                 Colonel         COMPNOR            IRSB: Support Operations
                Aloisa Arcuri                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
              Annelies Moretz                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
               Radovan Prevec                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
                   Tine Jeđud                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
                 Nora Jonsson                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
              Lillian Larsson                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
              Adone Schiavone                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
                Lisa Sandberg                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
              Corey M. Butler                                 Colonel         COMPNOR            IRSB: Support Operations
              Thomas Fransson                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
           Viviyan Hildegaard                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
         Olga Ana Radoslovnik                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
              Hasan Blomqvist                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
                 Milan Nordin                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
             Bonacata Lorenzo                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
                Ardeen Farand                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
              Santeri Kovanen                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
                 Dagne Akston                               Commander         COMPNOR            IRSB: Support Operations
               William Harris                       Brigadier General         COMPNOR            IRSB: Support Operations
                  Lara Kellow                                 Colonel         COMPNOR            IRSB: Support Operations
               Brenda Merrill                               Commander         COMPNOR            IRSB: Support Operations
              Tiziano Pirozzi                               Commander         COMPNOR            IRSB: Support Operations
               Gregor Sarkova                                 Colonel         COMPNOR            IRSB: Support Operations
             Albina Andersson                                 Colonel         COMPNOR            IRSB: Support Operations
              Håkan Johansson                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
              Cajsa Andersson                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
                  Neal Harper                               Commander         COMPNOR            IRSB: Support Operations
         Josefiina Hautaniemi                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
          Cameron A. Matthews                                 Colonel         COMPNOR            IRSB: Support Operations
                Lempi Kottila                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
                 Thim Månsson                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
              Fahira Morterra                      Lieutenant Colonel         COMPNOR            IRSB: Support Operations
                Zara Blacklow                                 Colonel         COMPNOR            IRSB: Support Operations
                 Ivan Newburg                      Lieutenant General         COMPNOR      IRSB: Investigative Operations
              Simona Čekanová                                 Colonel         COMPNOR      IRSB: Investigative Operations
                  Ryder Ingle                           Major General         COMPNOR      IRSB: Investigative Operations
              Joseph Nicholls                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                  Nate Mullea                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
               Kalervo Salama                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
               Eero Romppanen                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
             Gabriel Ferguson                                 Colonel         COMPNOR      IRSB: Investigative Operations
            Armas Vehviläinen                                 Colonel         COMPNOR      IRSB: Investigative Operations
               Kiera Javerson                           Major General         COMPNOR      IRSB: Investigative Operations
            Geoffrey Anderson                                 Colonel         COMPNOR      IRSB: Investigative Operations
                 Joel Gabriel                                 Colonel         COMPNOR      IRSB: Investigative Operations
              Callum McDonell                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                 Emma St Leon                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                     Ron Hope                               Commander         COMPNOR      IRSB: Investigative Operations
                Ryder Rozycki                               Commander         COMPNOR      IRSB: Investigative Operations
                  Ben Cochran                               Commander         COMPNOR      IRSB: Investigative Operations
               Owen Bernacchi                                 Colonel         COMPNOR      IRSB: Investigative Operations
                   Eliza Rees                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                 Seth Clunies                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                  Marie Frueh                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                    Andy Ryan                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                  Peter Wirtz                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
             Pomeroy Léveillé                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
             Adela Söderström                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
             Christopher Rasp                                 Colonel         COMPNOR      IRSB: Investigative Operations
              Declan Dartnell                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                     Mia Uren                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                 Mary Gillott                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
               Štefan Doležal                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
             Vanda Charvátová                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
               Varden Auclair                                 Colonel         COMPNOR      IRSB: Investigative Operations
             Clémence Plourde                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                Oliver Sicard                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
              Maslin Loiselle                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                  Lee Hillman                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
                  Gerald Doan                      Lieutenant Colonel         COMPNOR      IRSB: Investigative Operations
              Andrea Sedgwick                      Lieutenant General         COMPNOR             IRSB: Domestic Security
                  Gwen Huneck                                 Colonel         COMPNOR             IRSB: Domestic Security
                Nathan Talbot                       Brigadier General         COMPNOR             IRSB: Domestic Security
              Amelia Sturgill                           Major General         COMPNOR             IRSB: Domestic Security
                 Ryan Catalan                           Major General         COMPNOR             IRSB: Domestic Security
                Elaine Weaver                       Brigadier General         COMPNOR             IRSB: Domestic Security
                Lance Tessier                       Brigadier General         COMPNOR             IRSB: Domestic Security
               Austin Broadby                       Brigadier General         COMPNOR             IRSB: Domestic Security
                Asori Charrel                                 Colonel         COMPNOR             IRSB: Domestic Security
                David Chaleff                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                 Eve Willason                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                 Olivia Gatty                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                Caleb Parnell                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
            Wilma McPatterson                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                Zachary Fyans                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                   Aleene Sik                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
              Jessica P. Bull                                 Colonel         COMPNOR             IRSB: Domestic Security
               Eve H. Spencer                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                 Tilly D. Fox                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
       Harriet C. Mitchellson                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                 Adam Z. Khan                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
              Riley A. Briggs                                 Colonel         COMPNOR             IRSB: Domestic Security
             Molly M. Lambert                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                 Ellis E. Lee                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                 Maya D. Ryan                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
             Heather Faiimons                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
             Darren Kallosson                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
               Damien Looflow                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                Sophia Uflias                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                 Parker Xanex                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
               Patrick Dubais                      Lieutenant Colonel         COMPNOR             IRSB: Domestic Security
                Reese Bennett                      Lieutenant General         COMPNOR              IRSB: Medical Examiner
               Nathan Paschke                                 Colonel         COMPNOR              IRSB: Medical Examiner
                 Evie D'Alton                           Major General         COMPNOR              IRSB: Medical Examiner
              Calvin Blodgett                               Commander         COMPNOR              IRSB: Medical Examiner
              Millie Bradford                               Commander         COMPNOR              IRSB: Medical Examiner
                 Ken Chalmers                               Commander         COMPNOR              IRSB: Medical Examiner
                 Roger Halley                               Commander         COMPNOR              IRSB: Medical Examiner
             Sebastian Larkin                               Commander         COMPNOR              IRSB: Medical Examiner
               Logan McNamara                               Commander         COMPNOR              IRSB: Medical Examiner
                 Rachel Solly                       Brigadier General         COMPNOR              IRSB: Medical Examiner
             Lawrence Kellogg                       Brigadier General         COMPNOR              IRSB: Medical Examiner
                Paul Holloway                       Brigadier General         COMPNOR              IRSB: Medical Examiner
                 Lucy Mitchum                       Brigadier General         COMPNOR              IRSB: Medical Examiner
                  Betty Wyatt                       Brigadier General         COMPNOR              IRSB: Medical Examiner
                   Ryan Knorr                           Major General         COMPNOR              IRSB: Medical Examiner
               Patrick Ferris                               Commander         COMPNOR              IRSB: Medical Examiner
               Lillian Bascom                               Commander         COMPNOR              IRSB: Medical Examiner
                  Emma Conway                               Commander         COMPNOR              IRSB: Medical Examiner
               Angela Hammond                               Commander         COMPNOR              IRSB: Medical Examiner
                 Fred Eubanks                               Commander         COMPNOR              IRSB: Medical Examiner
                Ellis Starnes                               Commander         COMPNOR              IRSB: Medical Examiner
               Elisa Esposito                       Brigadier General         COMPNOR              IRSB: Medical Examiner
               Owen Hendricks                       Brigadier General         COMPNOR              IRSB: Medical Examiner
            Clifton Hunsacker                       Brigadier General         COMPNOR              IRSB: Medical Examiner
             Kay Narragansett                       Brigadier General         COMPNOR              IRSB: Medical Examiner
               Midas Stockton                       Brigadier General         COMPNOR              IRSB: Medical Examiner
            Blake Bartholomew                         Deputy Minister         COMPNOR                     T&I: Technology
                Tyler Markson                      Assistant Minister         COMPNOR                     T&I: Technology
               Richard Bennet                      Assistant Minister         COMPNOR                     T&I: Technology
                    Jim Davis                          Under Minister         COMPNOR                     T&I: Technology
                Brady Walker.                      Assistant Minister         COMPNOR                     T&I: Technology
                 Coli Carnith                         Senior Director         COMPNOR                     T&I: Technology
              Ralph Richards.                         Senior Director         COMPNOR                     T&I: Technology
               Martha Mallows                         Senior Director         COMPNOR                     T&I: Technology
                Lindsey Smith                         Senior Director         COMPNOR                     T&I: Technology
               Horace Hallows                         Senior Director         COMPNOR                     T&I: Technology
                Trisha Manson                         Senior Director         COMPNOR                     T&I: Technology
                Harman Trison                         Senior Director         COMPNOR                     T&I: Technology
                       Vacant                         Deputy Minister         COMPNOR                     T&I: Consulting
                       Vacant                          Under Minister         COMPNOR                     T&I: Consulting
                       Vacant                          Under Minister         COMPNOR                     T&I: Consulting
                       Vacant                          Under Minister         COMPNOR                     T&I: Consulting
                       Vacant                          Under Minister         COMPNOR                     T&I: Consulting
                       Vacant                         Deputy Minister         COMPNOR                     T&I: Consulting
                       Vacant                          Under Minister         COMPNOR                     T&I: Consulting
                       Vacant                          Under Minister         COMPNOR                     T&I: Consulting
                       Vacant                          Under Minister         COMPNOR                     T&I: Consulting
                       Vacant                         Deputy Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                Miriam Kallea                         Deputy Minister         COMPNOR                            T&I: R&D
                       Vacant                                Director         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
                       Vacant                          Under Minister         COMPNOR                            T&I: R&D
               Melody Dillion                          Under Minister         COMPNOR                IRCG: Administration
             Nathan Goldstien                      Assistant Minister         COMPNOR                IRCG: Administration
            Daniel Montgomery                      Assistant Minister         COMPNOR                IRCG: Administration
                Madonna Drake                      Assistant Minister         COMPNOR                IRCG: Administration
               Grace Quillian                         Deputy Minister         COMPNOR                IRCG: Administration
            Corrine Daughtery                      Assistant Minister         COMPNOR                IRCG: Administration
               Cyndi Schickel                      Assistant Minister         COMPNOR                IRCG: Administration
              Margaret Bowman                          Under Minister         COMPNOR                IRCG: Administration
                 Beau Kaufman                      Assistant Minister         COMPNOR                IRCG: Administration
                 Jamison Gold                          Under Minister         COMPNOR                IRCG: Administration
               Gregory Barron                      Assistant Minister         COMPNOR                IRCG: Administration
                    Quinn Noe                      Assistant Minister         COMPNOR                IRCG: Administration
                   Carol Hume                      Assistant Minister         COMPNOR                IRCG: Administration
              Richard Collins                      Assistant Minister         COMPNOR                IRCG: Administration
                    Jed Davis                      Assistant Minister         COMPNOR                IRCG: Administration
               Sheila Gadbury                      Assistant Minister         COMPNOR                IRCG: Administration
                   Hugh Orlis                          Under Minister         COMPNOR                IRCG: Administration
                Franco Towler                      Assistant Minister         COMPNOR                IRCG: Administration
                 James Garick                         Deputy Minister         COMPNOR                Personnel Management
               Erin Roxworthy                          Under Minister         COMPNOR                Personnel Management
             Brodie Dallinger                      Assistant Minister         COMPNOR                Personnel Management
                   Hans Orfen                         Senior Director         COMPNOR                Personnel Management
               Kalista Faliay                         Senior Director         COMPNOR                Personnel Management
                James Halmone                         Senior Director         COMPNOR                Personnel Management
             Adrianna Roffule                      Assistant Minister         COMPNOR                Personnel Management
               Heidi Goldberg                         Senior Director         COMPNOR                Personnel Management
              Delene Adallest                         Senior Director         COMPNOR                Personnel Management
                  Jimmy Riggs                         Senior Director         COMPNOR                Personnel Management
                Renee Andries                          Under Minister         COMPNOR                Personnel Management
              Patrick Nickens                      Assistant Minister         COMPNOR                Personnel Management
                Shelly Barnes                         Senior Director         COMPNOR                Personnel Management
               Hannah Roberts                         Senior Director         COMPNOR                Personnel Management
                 Jared Alfrey                      Assistant Minister         COMPNOR                Personnel Management
               Fredrick Cecil                         Senior Director         COMPNOR                Personnel Management
               Louis Alistair                         Senior Director         COMPNOR                Personnel Management
                  Barry Mason                         Senior Director         COMPNOR                Personnel Management
               Keith Schrader                          Under Minister         COMPNOR                Personnel Management
              Lawrence Howard                         Senior Director         COMPNOR                Personnel Management
              Tiffany Wheeler                         Senior Director         COMPNOR                Personnel Management
             William Sullivan                         Senior Director         COMPNOR                Personnel Management
                 Heidi Kivler                      Assistant Minister         COMPNOR                Personnel Management
               Whitney Hewitt                      Assistant Minister         COMPNOR                Personnel Management
                Martin Fawush                         Deputy Minister         COMPNOR                  Federal Regulation
              Jessica Proctor                     Assisstant Minister         COMPNOR                  Federal Regulation
             Allison Rafferty                     Assisstant Minister         COMPNOR                  Federal Regulation
               Hannah Needles                          Under Minister         COMPNOR                  Federal Regulation
                Megan Crosson                          Under Minister         COMPNOR                  Federal Regulation
               Mary Henderson                     Assisstant Minister         COMPNOR                  Federal Regulation
                  Janie Burns                     Assisstant Minister         COMPNOR                  Federal Regulation
             Alexander Westin                          Under Minister         COMPNOR                  Federal Regulation
              Cassandra Clark                     Assisstant Minister         COMPNOR                  Federal Regulation
               Kenneth Taylor                     Assisstant Minister         COMPNOR                  Federal Regulation
                  Emma Jelsan                          Under Minister         COMPNOR                  Federal Regulation
                 Jenna Halkin                         Deputy Minister         COMPNOR                         IRCG: Audit
                Bruce Ramsaur                      Assistant Minister         COMPNOR                         IRCG: Audit
                Warren McKinn                         Deputy Minister         COMPNOR                         IRCG: Audit
                 Eugene Carey                      Assistant Minister         COMPNOR                         IRCG: Audit
                  Mea Filmore                      Assistant Minister         COMPNOR                         IRCG: Audit
                  Susan McVan                      Assistant Minister         COMPNOR                         IRCG: Audit
                 Brad Stouton                      Assistant Minister         COMPNOR                         IRCG: Audit
            Patricia Tegnelia                         Deputy Minister         COMPNOR                         IRCG: Audit
            Ralph Fitzpatrick                                Director         COMPNOR                         IRCG: Audit
                 James Koziol                                Director         COMPNOR                         IRCG: Audit
              Cindy Henderson                                Director         COMPNOR                         IRCG: Audit
          Charlotte Vautrinot                      Assistant Minister         COMPNOR                         IRCG: Audit
                 Serena Gauge                      Assistant Minister         COMPNOR                         IRCG: Audit
               Marsilia Vance                      Assistant Minister         COMPNOR                         IRCG: Audit
               Abraham Hersby                         Deputy Minister         COMPNOR                         IRCG: Audit
              Susan Allshouse                      Assistant Minister         COMPNOR                         IRCG: Audit
                Kirk Canfield                                Director         COMPNOR                         IRCG: Audit
              Gordon Kayppers                                Director         COMPNOR                         IRCG: Audit
               Richard Kehler                         Deputy Minister         COMPNOR                         IRCG: Audit
